# iterations	 errorinentropy	 maxerror
1.594e+09	0.04996	0.43
1.607e+09	0.04846	0.399
1.62e+09	0.04622	0.369
1.637e+09	0.04386	0.374
1.654e+09	0.05645	0.271
1.667e+09	0.06937	0.273
1.683e+09	0.06759	0.2589
1.7e+09	0.0686	0.2587
1.717e+09	0.07106	0.2621
1.735e+09	0.06741	0.2547
1.749e+09	0.063	0.2414
1.767e+09	0.05951	0.2299
1.782e+09	0.06166	0.236
1.798e+09	0.06713	0.2518
1.811e+09	0.06703	0.2581
1.826e+09	0.06571	0.2542
1.84e+09	0.06239	0.2374
1.858e+09	0.05989	0.2322
1.873e+09	0.06022	0.2262
1.888e+09	0.06094	0.228
1.906e+09	0.06223	0.2292
1.921e+09	0.05993	0.2209
1.939e+09	0.05625	0.21
1.955e+09	0.05482	0.2064
1.973e+09	0.05124	0.22
1.988e+09	0.05458	0.233
2.006e+09	0.05119	0.238
2.025e+09	0.04554	0.231
2.043e+09	0.04527	0.208
2.062e+09	0.03954	0.212
2.08e+09	0.03907	0.247
2.096e+09	0.03436	0.223
2.115e+09	0.03536	0.215
2.133e+09	0.03134	0.222
2.152e+09	0.03013	0.23
2.171e+09	0.0289	0.234
2.187e+09	0.02649	0.243
2.202e+09	0.02354	0.218
2.219e+09	0.02274	0.211
2.238e+09	0.02423	0.201
2.254e+09	0.02051	0.214
2.271e+09	0.01976	0.212
2.287e+09	0.01789	0.221
2.303e+09	0.01756	0.219
2.319e+09	0.01515	0.228
2.336e+09	0.01571	0.207
2.352e+09	0.01589	0.203
2.368e+09	0.01592	0.207
2.388e+09	0.01596	0.16
2.402e+09	0.01829	0.15
2.422e+09	0.01683	0.166
2.439e+09	0.01649	0.184
2.456e+09	0.01791	0.157
2.472e+09	0.01673	0.163
2.489e+09	0.01737	0.151
2.509e+09	0.01879	0.124
2.524e+09	0.02003	0.114
2.54e+09	0.02182	0.11
2.56e+09	0.02474	0.123
2.578e+09	0.02578	0.128
2.592e+09	0.0251	0.137
2.609e+09	0.02469	0.137
2.624e+09	0.02308	0.126
2.638e+09	0.02436	0.127
2.658e+09	0.02475	0.1235
2.676e+09	0.0235	0.118
2.693e+09	0.02013	0.1073
2.711e+09	0.02225	0.1122
2.729e+09	0.02321	0.114
2.748e+09	0.02105	0.108
2.765e+09	0.02163	0.108
2.78e+09	0.03097	0.151
2.8e+09	0.02982	0.147
2.819e+09	0.02786	0.147
2.836e+09	0.02837	0.151
2.857e+09	0.0269	0.147
2.876e+09	0.0257	0.1421
2.894e+09	0.02578	0.1422
2.912e+09	0.02588	0.1441
2.93e+09	0.02461	0.139
2.946e+09	0.0239	0.138
2.964e+09	0.02449	0.144
2.985e+09	0.02271	0.137
3.002e+09	0.02172	0.134
3.023e+09	0.02157	0.132
3.04e+09	0.01957	0.133
3.058e+09	0.01782	0.134
3.076e+09	0.01753	0.134
3.098e+09	0.01554	0.135
3.115e+09	0.01523	0.136
3.131e+09	0.01581	0.134
3.15e+09	0.01408	0.134
3.169e+09	0.01469	0.135
3.188e+09	0.01354	0.137
3.207e+09	0.01421	0.134
3.226e+09	0.01368	0.135
3.245e+09	0.01352	0.143
3.264e+09	0.01338	0.136
3.283e+09	0.01422	0.138
3.3e+09	0.01423	0.139
3.319e+09	0.01299	0.14
3.334e+09	0.01311	0.14
3.356e+09	0.01362	0.142
3.376e+09	0.01352	0.142
3.395e+09	0.01478	0.151
3.415e+09	0.01388	0.155
3.435e+09	0.01547	0.146
3.454e+09	0.01573	0.155
3.472e+09	0.01531	0.159
3.495e+09	0.01533	0.161
3.515e+09	0.01535	0.159
3.535e+09	0.01478	0.154
3.555e+09	0.01442	0.157
3.578e+09	0.01363	0.161
3.599e+09	0.01535	0.166
3.622e+09	0.01592	0.162
3.641e+09	0.01789	0.165
3.661e+09	0.01712	0.169
3.681e+09	0.01821	0.178
3.705e+09	0.01921	0.184
3.729e+09	0.02142	0.19
3.749e+09	0.02363	0.194
3.77e+09	0.01732	0.172
3.791e+09	0.01626	0.152
3.812e+09	0.01776	0.154
3.836e+09	0.01774	0.152
3.857e+09	0.008634	0.158
3.88e+09	0.01045	0.159
3.899e+09	0.02088	0.11
3.92e+09	0.02127	0.11
3.944e+09	0.02191	0.119
3.963e+09	0.02159	0.121
3.986e+09	0.02504	0.1141
4.008e+09	0.02406	0.1129
4.03e+09	0.02467	0.1146
4.054e+09	0.02231	0.1075
4.076e+09	0.02142	0.1054
4.095e+09	0.02099	0.105
4.12e+09	0.01828	0.105
4.142e+09	0.01786	0.107
4.166e+09	0.01523	0.107
4.191e+09	0.01763	0.11
4.215e+09	0.01741	0.11
4.238e+09	0.0191	0.111
4.259e+09	0.01968	0.112
4.279e+09	0.01999	0.112
4.304e+09	0.02084	0.113
4.326e+09	0.01941	0.114
4.349e+09	0.01898	0.115
4.374e+09	0.01896	0.116
4.394e+09	0.01824	0.116
4.416e+09	0.01551	0.116
4.439e+09	0.01473	0.117
4.461e+09	0.03064	0.1267
4.481e+09	0.03236	0.1316
4.503e+09	0.02975	0.1264
4.526e+09	0.02742	0.1204
4.548e+09	0.02764	0.1212
4.572e+09	0.02657	0.1173
4.592e+09	0.02502	0.1123
4.618e+09	0.02678	0.1174
4.641e+09	0.0251	0.1103
4.667e+09	0.02281	0.1044
4.688e+09	0.02125	0.1023
4.708e+09	0.02103	0.1003
4.731e+09	0.02117	0.0967
4.752e+09	0.01964	0.0936
4.774e+09	0.01801	0.0917
4.795e+09	0.0173	0.0891
4.818e+09	0.01678	0.08488
4.839e+09	0.0163	0.08507
4.862e+09	0.01532	0.083
4.884e+09	0.01403	0.082
4.905e+09	0.01271	0.082
4.924e+09	0.01173	0.082
4.945e+09	0.01183	0.082
4.963e+09	0.01113	0.082
4.984e+09	0.01166	0.082
5.003e+09	0.01045	0.082
5.024e+09	0.01036	0.081
5.045e+09	0.01431	0.0908
5.065e+09	0.01361	0.0881
5.083e+09	0.01265	0.0851
5.103e+09	0.01231	0.0856
5.125e+09	0.01232	0.0812
5.146e+09	0.01212	0.081
5.167e+09	0.011	0.081
5.19e+09	0.01058	0.081
5.211e+09	0.01112	0.081
5.228e+09	0.0127	0.081
5.249e+09	0.0115	0.081
5.266e+09	0.01138	0.081
5.287e+09	0.01228	0.082
5.303e+09	0.01299	0.082
5.319e+09	0.01245	0.082
5.335e+09	0.01179	0.082
5.349e+09	0.0108	0.083
5.365e+09	0.01038	0.083
5.379e+09	0.009929	0.083
5.395e+09	0.009171	0.083
5.41e+09	0.008152	0.084
5.425e+09	0.006856	0.084
5.441e+09	0.006918	0.085
5.455e+09	0.006792	0.084
5.471e+09	0.006776	0.085
5.487e+09	0.006875	0.085
5.504e+09	0.007227	0.085
5.518e+09	0.00745	0.086
5.533e+09	0.008047	0.086
5.55e+09	0.008295	0.087
5.566e+09	0.008256	0.087
5.582e+09	0.008098	0.088
5.597e+09	0.009448	0.081
5.613e+09	0.009277	0.081
5.628e+09	0.01062	0.081
5.644e+09	0.01132	0.081
5.658e+09	0.009589	0.081
5.675e+09	0.009302	0.081
5.69e+09	0.007954	0.081
5.707e+09	0.007308	0.081
5.722e+09	0.006886	0.081
5.737e+09	0.006473	0.081
5.753e+09	0.005966	0.08
5.768e+09	0.005433	0.081
5.786e+09	0.005697	0.082
5.802e+09	0.006274	0.081
5.818e+09	0.006003	0.081
5.834e+09	0.02798	0.101
5.852e+09	0.02655	0.099
5.867e+09	0.02616	0.097
5.884e+09	0.02491	0.095
5.901e+09	0.02428	0.093
5.917e+09	0.02409	0.091
5.934e+09	0.02358	0.086
5.95e+09	0.02263	0.085
5.966e+09	0.02232	0.084
5.983e+09	0.02305	0.083
6e+09	0.02191	0.081
6.016e+09	0.02172	0.079
