0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	inf	0	0.0414445
2.95	0.0502286	0.0817533	0.0942301	0.0809928	0.0960704	0.0793612	0.0961984	0.0771136	0.0958758	0.0519054	0.0441073
3.05	0.0487884	0.0837052	0.089278	0.074297	0.0936907	0.0763761	0.0943849	0.0777962	0.0960323	0.0518899	0.0446332
3.15	0.0475449	0.0896627	0.0913977	0.077714	0.0937308	0.0797814	0.0941313	0.078841	0.0937068	0.0507363	0.0451552
3.25	0.0465937	0.0813694	0.0884596	0.0782935	0.0906411	0.0797888	0.0902182	0.0808773	0.091228	0.0498131	0.0456755
3.35	0.0457842	0.0781967	0.0842681	0.0821382	0.0890959	0.0805243	0.0881613	0.0812734	0.0900525	0.0490756	0.0461961
3.45	0.045352	0.0724669	0.0884449	0.0805902	0.0861591	0.082452	0.0882965	0.0825234	0.0876456	0.0484955	0.0467195
3.55	0.0450188	0.0904511	0.0862566	0.0804389	0.0852592	0.0819166	0.087032	0.0826073	0.0873375	0.0480619	0.0472448
3.65	0.0450941	0.0814472	0.0994517	0.0832238	0.083406	0.083502	0.0818229	0.0840436	0.0864772	0.0477393	0.047774
3.75	0.0451012	0.08384	0.0750111	0.0842244	0.0858513	0.0840257	0.0851145	0.085685	0.0860156	0.0475183	0.0483045
3.85	0.0455798	0.0891087	0.0840436	0.0881902	0.0838589	0.0872244	0.086119	0.0863705	0.0859473	0.0473688	0.0488398
3.95	0.0461426	0.0877659	0.0920224	0.089664	0.0844039	0.0887727	0.085529	0.0869629	0.0839116	0.047287	0.0493817
4.05	0.0469597	0.0872837	0.0964848	0.0893655	0.0847838	0.0886328	0.0842115	0.0869009	0.0838124	0.0472575	0.0494162
4.15	0.0477933	0.0869945	0.0917141	0.0883769	0.0868249	0.0869807	0.0835915	0.0858734	0.0836649	0.0472648	0.0490015
4.25	0.0481835	0.0855533	0.0794666	0.0841788	0.0856407	0.0840378	0.0862492	0.0855386	0.0842976	0.047301	0.048652
4.35	0.0483555	0.086447	0.0896612	0.0874844	0.0876731	0.0871366	0.0850867	0.0845378	0.0844093	0.0473645	0.0483625
4.45	0.0484945	0.0874089	0.0839757	0.0832606	0.0834906	0.0828327	0.0838296	0.0836876	0.0840302	0.0474469	0.0481294
4.55	0.0486303	0.0848246	0.0851507	0.083395	0.0889684	0.0822414	0.0888028	0.0835548	0.0846801	0.0475413	0.0479465
4.65	0.0485592	0.0841129	0.0866409	0.0841677	0.0837494	0.0849079	0.0866916	0.0837428	0.0849245	0.0476379	0.047805
4.75	0.0485692	0.0805922	0.0885378	0.0820478	0.0877639	0.0829135	0.0881629	0.0831443	0.0851371	0.0477287	0.0477016
4.85	0.0482801	0.085706	0.0851341	0.0864187	0.0903805	0.0854248	0.0879439	0.0827999	0.0851573	0.0478098	0.0476307
4.95	0.0482189	0.0844591	0.0788997	0.0839878	0.0868679	0.0840916	0.0852886	0.0833095	0.0860973	0.0478782	0.047589
5.05	0.0480328	0.080217	0.0864795	0.0823708	0.083126	0.0844279	0.0845913	0.0826068	0.085311	0.0479215	0.0475699
5.15	0.0477978	0.0837352	0.0864591	0.0821855	0.0839017	0.0832314	0.0847246	0.0825289	0.0848364	0.04794	0.0475725
5.25	0.0476546	0.085563	0.0907373	0.084126	0.0845406	0.0854104	0.0845485	0.0829711	0.0857771	0.0479329	0.0475921
5.35	0.047637	0.0856342	0.0799631	0.0853764	0.0841258	0.0846778	0.0847117	0.0832382	0.0850589	0.0479158	0.0476257
5.45	0.0475568	0.0855699	0.0904143	0.0849445	0.0873594	0.0840157	0.0857419	0.0832416	0.084521	0.0478974	0.0476669
5.55	0.0475934	0.0802347	0.0866013	0.085022	0.0838339	0.0836691	0.0853284	0.0832477	0.0842919	0.0478726	0.0477137
5.65	0.047452	0.0902127	0.0846488	0.0841649	0.0867498	0.0842059	0.0861513	0.0834602	0.0849622	0.0478474	0.04776
5.75	0.0474978	0.0827961	0.0837042	0.0843246	0.0844756	0.0843668	0.0852965	0.0835563	0.0837655	0.0478211	0.0478065
5.85	0.047564	0.083015	0.0864908	0.083389	0.0838958	0.0834083	0.0837405	0.0834678	0.0844547	0.047803	0.047848
5.95	0.0477307	0.0825575	0.0839452	0.0839287	0.0877194	0.0837927	0.0869786	0.0831043	0.0842256	0.0477894	0.0478815
6.05	0.0477746	0.0856168	0.0836373	0.0841347	0.0819515	0.0842064	0.0824105	0.083882	0.0834011	0.0477791	0.0478999
6.15	0.0478798	0.0882751	0.0791032	0.0833867	0.0845288	0.0837036	0.084142	0.0831257	0.0842243	0.0477802	0.0479048
6.25	0.0478712	0.0850273	0.0806964	0.0825974	0.0836891	0.0830131	0.0858332	0.0833043	0.0841287	0.04779	0.0478997
6.35	0.0479312	0.0854578	0.0897772	0.0843469	0.0857391	0.084147	0.0861224	0.0835589	0.0839598	0.0478047	0.0478882
6.45	0.0479444	0.0820079	0.0845232	0.0830052	0.0828902	0.083339	0.0836146	0.0833425	0.0832319	0.0478187	0.0478715
6.55	0.0479455	0.085968	0.0856848	0.0846577	0.0849142	0.0838102	0.0840325	0.0836754	0.0842049	0.0478334	0.0478502
6.65	0.0479475	0.0875574	0.086804	0.0831588	0.0835116	0.0833672	0.0835825	0.0835904	0.0843362	0.0478455	0.0478302
6.75	0.0478909	0.0838978	0.085926	0.0844292	0.0858309	0.0849334	0.0866629	0.0836404	0.0848822	0.0478613	0.0478116
6.85	0.0479098	0.0842361	0.0877211	0.0845562	0.0842753	0.0842399	0.083036	0.0835875	0.0845513	0.047875	0.047796
6.95	0.047905	0.0831844	0.0895564	0.0831855	0.0852795	0.0835075	0.0851625	0.0835268	0.0842833	0.0478839	0.0477821
7.05	0.0478241	0.0824285	0.0910449	0.0845482	0.0868647	0.0841994	0.0867935	0.082768	0.0846142	0.0478843	0.047774
7.15	0.0479143	0.0835883	0.0827283	0.0814931	0.0833018	0.082672	0.084359	0.0833586	0.0839505	0.0478794	0.0477691
7.25	0.0479581	0.0856694	0.0839461	0.0834108	0.0837229	0.0839	0.0839286	0.0834421	0.0839069	0.0478757	0.0477678
7.35	0.0478864	0.08799	0.0884595	0.0850289	0.0850614	0.0845409	0.083984	0.0832483	0.0845714	0.0478681	0.0477701
7.45	0.0478883	0.083894	0.0848306	0.0827334	0.0825208	0.083669	0.0838564	0.0833911	0.0846939	0.0478525	0.0477732
7.55	0.0478596	0.0844331	0.0864728	0.0819456	0.0827823	0.082383	0.0835864	0.0833157	0.0846905	0.0478338	0.0477791
7.65	0.0478223	0.0852894	0.0910321	0.0839386	0.086363	0.085047	0.0847291	0.0835372	0.0838554	0.0478175	0.0477852
7.75	0.0478856	0.0834539	0.0818404	0.0832961	0.0825463	0.0832269	0.0831372	0.0833778	0.083467	0.0478046	0.0477904
7.85	0.0478449	0.0841767	0.0830335	0.0839677	0.0848818	0.0843909	0.0851228	0.0833718	0.0840133	0.0477909	0.0477926
7.95	0.0478228	0.0864976	0.080543	0.0843097	0.0826969	0.0845327	0.0842044	0.0833797	0.0837045	0.0477765	0.0477926
8.05	0.0477399	0.0798362	0.0820775	0.0826236	0.0847509	0.0820963	0.0851066	0.0832238	0.0836677	0.0477702	0.0477903
8.15	0.0478204	0.0831227	0.0874067	0.0823467	0.0845053	0.0828061	0.0845006	0.0830479	0.0839813	0.0477608	0.0477856
8.25	0.0477996	0.0832953	0.0804217	0.0835064	0.0829835	0.0835706	0.0831948	0.0833557	0.0834875	0.047751	0.04778
8.35	0.0476747	0.0840584	0.0828613	0.0844037	0.0858625	0.0838214	0.0857082	0.0830832	0.0836972	0.0477437	0.0477729
8.45	0.0476431	0.0844935	0.0822822	0.0834505	0.0852281	0.0834808	0.0859785	0.0834279	0.0836521	0.0477385	0.0477676
8.55	0.0476052	0.0817751	0.0824226	0.0826376	0.0834532	0.0829656	0.0828382	0.083135	0.0833537	0.0477374	0.0477643
8.65	0.0476293	0.0834084	0.0893243	0.0849112	0.0836106	0.0850658	0.083554	0.0832998	0.083543	0.0477388	0.0477601
8.75	0.0476799	0.0826796	0.0829821	0.0835761	0.0846245	0.0834055	0.0836216	0.083449	0.0836695	0.0477358	0.0477597
8.85	0.0475803	0.0834285	0.0820513	0.0834698	0.0807349	0.0838441	0.0826155	0.0832209	0.0832384	0.0477289	0.0477611
8.95	0.0476927	0.0811567	0.0845419	0.0837683	0.0846399	0.083768	0.0849615	0.0833401	0.0843247	0.0477216	0.0477622
9.05	0.0477082	0.0832672	0.0785183	0.0840922	0.0837036	0.0840722	0.0830346	0.0834114	0.0834921	0.047717	0.0477647
9.15	0.0477139	0.0837047	0.085019	0.0845904	0.0844607	0.0840871	0.0836722	0.0831731	0.0836313	0.0477123	0.047765
9.25	0.0477294	0.0861482	0.0838206	0.0839292	0.0843132	0.0838792	0.084495	0.0830524	0.0835003	0.047705	0.0477644
9.35	0.0477737	0.0866027	0.0845615	0.0844701	0.085049	0.0846515	0.0847809	0.0832938	0.0835286	0.0476981	0.0477634
9.45	0.0477834	0.084638	0.0850181	0.0832622	0.0856189	0.0827672	0.0857503	0.0830936	0.0839033	0.0477008	0.0477623
9.55	0.0478456	0.0822048	0.0863406	0.0837486	0.0838202	0.0842593	0.0839367	0.0832446	0.0834093	0.0477093	0.0477607
9.65	0.0477994	0.0834031	0.0845511	0.0836109	0.0829182	0.0832075	0.0843111	0.0832082	0.0839575	0.0477146	0.0477597
9.75	0.0477532	0.083679	0.0853816	0.0833594	0.0837346	0.0834126	0.0835292	0.0833588	0.0838449	0.047724	0.0477571
9.85	0.0476871	0.0818585	0.0850365	0.0834531	0.083663	0.0840686	0.0828603	0.0837328	0.0837122	0.0477373	0.0477538
9.95	0.047683	0.0831778	0.0805352	0.0829508	0.0832734	0.084032	0.084308	0.0833611	0.0838987	0.0477507	0.0477477
10.05	0.047704	0.0809445	0.0838729	0.0828269	0.0855046	0.0835679	0.0845665	0.0834111	0.0842163	0.0477604	0.0477371
10.15	0.0476621	0.0862194	0.0824032	0.0841143	0.0831945	0.0840628	0.0842136	0.083657	0.0836126	0.0477684	0.0476987
10.25	0.0476445	0.0824439	0.0849397	0.0833855	0.0836803	0.0835053	0.0845307	0.0831198	0.0833865	0.0477751	0.0476258
10.35	0.0476346	0.0842277	0.0856051	0.0839446	0.0845711	0.0839144	0.083439	0.0835873	0.0832028	0.0477792	0.0475215
10.45	0.0477589	0.0812896	0.0813273	0.082622	0.0835913	0.0831065	0.0839076	0.0832836	0.0837485	0.0477816	0.0473867
10.55	0.0477638	0.0831901	0.082265	0.0840569	0.0837027	0.0838928	0.0842289	0.0833031	0.0837406	0.0477795	0.0472212
10.65	0.047754	0.0825333	0.0823962	0.0848106	0.0839826	0.08423	0.0851363	0.0833784	0.0841093	0.0477767	0.0470264
10.75	0.0478895	0.0844059	0.0846692	0.0826045	0.0850291	0.0834681	0.0850298	0.0832503	0.0833972	0.0477745	0.0468028
10.85	0.0478928	0.084157	0.0835645	0.0833827	0.0847284	0.0837782	0.0848863	0.0832491	0.0840401	0.0477741	0.046551
10.95	0.0479186	0.0823632	0.0855962	0.08362	0.0850574	0.0836589	0.0842909	0.0831822	0.0838087	0.047769	0.0462708
11.05	0.0478785	0.0817976	0.0799191	0.0853338	0.0833973	0.0847121	0.084285	0.0833296	0.0834861	0.0477536	0.0459611
11.15	0.0478257	0.081195	0.0817322	0.0836595	0.084557	0.0841035	0.0843293	0.083373	0.0835651	0.0476876	0.0456242
11.25	0.047863	0.0813049	0.0802796	0.0832594	0.0836785	0.084108	0.0846183	0.0833462	0.0838382	0.0475607	0.0452601
11.35	0.0478315	0.081513	0.085002	0.0843933	0.0831175	0.0840221	0.0839443	0.0834525	0.0841944	0.0473759	0.0448698
11.45	0.0477792	0.0832634	0.0840068	0.0844639	0.0835484	0.0847622	0.0849498	0.0834558	0.0846413	0.0471276	0.0444562
11.55	0.0477788	0.0842524	0.0868845	0.084279	0.0855339	0.084266	0.0852238	0.0832223	0.0850453	0.0468176	0.0440186
11.65	0.0477732	0.0829037	0.0857899	0.0830995	0.0885559	0.0830089	0.0872635	0.0831876	0.0857357	0.0464564	0.0435578
11.75	0.0477092	0.0815878	0.0842879	0.0828532	0.0860686	0.0832	0.0866238	0.0831044	0.086437	0.0460384	0.0430764
11.85	0.0476692	0.0856031	0.0887687	0.0837807	0.0884058	0.0837388	0.0873532	0.0832285	0.0877091	0.045565	0.0425739
