# E	 Serror
-700	-0.03386
-701	-0.03417
-702	-0.0385
-703	-0.04146
-704	-0.04313
-705	-0.04373
-706	-0.04255
-707	-0.04502
-708	-0.04671
-709	-0.04892
-710	-0.0469
-711	-0.04619
-712	-0.04953
-713	-0.04917
-714	-0.04823
-715	-0.04579
-716	-0.04752
-717	-0.04765
-718	-0.04703
-719	-0.04844
-720	-0.05187
-721	-0.0547
-722	-0.05528
-723	-0.05412
-724	-0.05455
-725	-0.05435
-726	-0.05285
-727	-0.05378
-728	-0.05344
-729	-0.05256
-730	-0.05104
-731	-0.05468
-732	-0.05112
-733	-0.05078
-734	-0.0512
-735	-0.05186
-736	-0.05149
-737	-0.05133
-738	-0.05216
-739	-0.05144
-740	-0.05216
-741	-0.05254
-742	-0.05393
-743	-0.05481
-744	-0.05257
-745	-0.05121
-746	-0.05057
-747	-0.05122
-748	-0.04956
-749	-0.05016
-750	-0.04696
-751	-0.04539
-752	-0.04262
-753	-0.03877
-754	-0.0353
-755	-0.03225
-756	-0.0303
-757	-0.02408
-758	-0.02239
-759	-0.01942
-760	-0.0165
-761	-0.01145
-762	-0.009992
-763	-0.009383
-764	-0.007445
-765	-0.00661
-766	-0.005987
-767	-0.004219
-768	-0.004959
-769	-0.00555
-770	-0.005478
-771	-0.004951
-772	-0.005127
-773	-0.009717
-774	-0.01202
-775	-0.01406
-776	-0.01252
-777	-0.01332
-778	-0.01957
-779	-0.01825
-780	-0.01928
-781	-0.02135
-782	-0.02038
-783	-0.01811
-784	-0.0165
-785	-0.01913
-786	-0.02042
-787	-0.02062
-788	-0.02072
-789	-0.0175
-790	-0.01813
-791	-0.02055
-792	-0.02292
-793	-0.02346
-794	-0.02438
-795	-0.02756
-796	-0.02923
-797	-0.03031
-798	-0.0317
-799	-0.02992
-800	-0.02958
-801	-0.0289
-802	-0.03244
-803	-0.03174
-804	-0.03668
-805	-0.03443
-806	-0.03927
-807	-0.0377
-808	-0.04053
-809	-0.04303
-810	-0.04696
-811	-0.04718
-812	-0.04815
-813	-0.04778
-814	-0.04756
-815	-0.04493
-816	-0.0447
-817	-0.04486
-818	-0.04211
-819	-0.04398
-820	-0.04416
-821	-0.04563
-822	-0.04571
-823	-0.04601
-824	-0.04516
-825	-0.04284
-826	-0.0437
-827	-0.04233
-828	-0.04239
-829	-0.04024
-830	-0.04151
-831	-0.04249
-832	-0.04282
-833	-0.04372
-834	-0.04281
-835	-0.04232
-836	-0.03968
-837	-0.03951
-838	-0.04164
-839	-0.04087
-840	-0.03934
-841	-0.03519
-842	-0.0343
-843	-0.03458
-844	-0.03537
-845	-0.03577
-846	-0.03476
-847	-0.03404
-848	-0.03341
-849	-0.03244
-850	-0.0323
-851	-0.03309
-852	-0.03186
-853	-0.02837
-854	-0.02792
-855	-0.02432
-856	-0.02241
-857	-0.01734
-858	-0.01727
-859	-0.01512
-860	-0.01271
-861	-0.009941
-862	-0.009215
-863	-0.00634
-864	-0.005708
-865	-0.003251
-866	-0.0003737
-867	-0.000342
-868	0.0001879
-869	0.002668
-870	0.004889
-871	0.007058
-872	0.009125
-873	0.00863
-874	0.01189
-875	0.01358
-876	0.01132
-877	0.01079
-878	0.01114
-879	0.0122
-880	0.0114
-881	0.008661
-882	0.00958
-883	0.01077
-884	0.01096
-885	0.01029
-886	0.01137
-887	0.01431
-888	0.01385
-889	0.01373
-890	0.01001
-891	0.01293
-892	0.01354
-893	0.01517
-894	0.01266
-895	0.01244
-896	0.01031
-897	0.007457
-898	0.003045
-899	0.002692
-900	0.001223
-901	0.001077
-902	0.0004103
-903	-0.003911
-904	-0.006689
-905	-0.009644
-906	-0.01068
-907	-0.01429
-908	-0.01825
-909	-0.02199
-910	-0.02366
-911	-0.02409
-912	-0.02751
-913	-0.02665
-914	-0.03175
-915	-0.03857
