# iterations	 errorinentropy	 maxerror
2.581e+09	2.319	28.15
2.592e+09	2.323	28.15
2.603e+09	2.325	28.15
2.613e+09	2.328	28.15
2.624e+09	2.333	28.15
2.635e+09	2.329	28.15
2.646e+09	2.333	28.15
2.657e+09	2.336	28.15
2.668e+09	2.34	28.15
2.679e+09	2.343	28.15
2.69e+09	2.345	28.15
2.701e+09	2.347	28.15
2.712e+09	2.347	28.15
2.723e+09	2.352	28.15
2.734e+09	2.352	28.15
2.745e+09	2.356	28.15
2.756e+09	2.357	28.15
2.768e+09	2.36	28.15
2.779e+09	2.361	28.15
2.79e+09	2.347	28.15
2.801e+09	2.349	28.15
2.813e+09	2.352	28.15
2.824e+09	2.354	28.15
2.835e+09	2.354	28.15
2.847e+09	2.35	28.15
2.858e+09	2.756	22.44
2.87e+09	2.76	22.44
2.881e+09	2.759	22.44
2.892e+09	2.761	22.44
2.904e+09	2.765	22.44
2.915e+09	2.769	22.44
2.927e+09	2.773	22.44
2.939e+09	2.776	22.44
2.95e+09	2.78	22.44
2.962e+09	2.784	22.44
2.973e+09	2.782	22.44
2.985e+09	2.787	22.44
2.997e+09	2.79	22.44
3.008e+09	2.794	22.44
3.02e+09	2.797	22.44
3.031e+09	2.798	22.44
3.043e+09	2.804	22.44
3.055e+09	2.729	22.44
3.067e+09	2.724	22.44
3.079e+09	2.729	22.44
3.09e+09	2.732	22.44
3.102e+09	2.731	22.44
3.114e+09	2.735	22.44
3.126e+09	2.739	22.44
3.138e+09	2.743	22.44
3.15e+09	2.747	22.44
3.162e+09	2.75	22.44
3.174e+09	2.737	22.44
3.186e+09	2.74	22.44
3.198e+09	2.74	22.44
3.21e+09	2.744	22.44
3.222e+09	2.749	22.44
3.234e+09	2.746	22.44
3.246e+09	2.748	22.44
3.259e+09	2.751	22.44
3.271e+09	2.751	22.44
3.283e+09	2.757	22.44
3.295e+09	2.733	22.44
3.308e+09	2.737	22.44
3.32e+09	2.739	22.44
3.332e+09	2.743	22.44
3.345e+09	2.747	22.44
3.357e+09	2.749	22.44
3.369e+09	2.744	22.44
3.381e+09	2.746	22.44
3.394e+09	2.746	22.44
3.406e+09	2.656	22.44
3.419e+09	2.657	22.44
3.431e+09	2.661	22.44
3.444e+09	2.663	22.44
3.456e+09	2.668	22.44
3.469e+09	2.672	22.44
3.481e+09	2.675	22.44
3.494e+09	2.676	22.44
3.506e+09	2.664	22.44
3.519e+09	2.668	22.44
3.531e+09	2.67	22.44
3.544e+09	2.674	22.44
3.557e+09	2.678	22.44
3.57e+09	2.675	22.44
3.582e+09	2.677	22.44
3.595e+09	2.678	22.44
3.608e+09	2.683	22.44
3.62e+09	2.687	22.44
3.633e+09	2.686	22.44
3.646e+09	2.69	22.44
3.659e+09	2.687	22.44
3.672e+09	2.686	22.44
3.685e+09	2.687	22.44
3.697e+09	2.686	22.44
3.71e+09	2.688	22.44
3.723e+09	2.669	22.44
3.736e+09	2.661	22.44
3.749e+09	2.664	22.44
3.762e+09	2.668	22.44
3.775e+09	2.67	22.44
3.789e+09	2.673	22.44
3.802e+09	2.677	22.44
3.815e+09	2.68	22.44
3.828e+09	2.677	22.44
3.841e+09	2.676	22.44
3.854e+09	2.678	22.44
3.868e+09	2.675	22.44
3.881e+09	2.679	22.44
3.894e+09	2.682	22.44
3.907e+09	2.256	22.44
3.92e+09	2.244	22.44
3.933e+09	2.248	22.44
