# version: 0.0.0-2195-gca28196b-dirty
# seed: 0
# well_width: 1.3
# ff: 0.3
# N: 500
# walls: 0
# cell dimensions: (19.1123, 19.1123, 19.1123)
# translation_scale: 0.1
# energy_levels: 4501
# min_T: 0.5
# max_entropy_state: 1206
# min_important_energy: 2610
# too_high_energy: -1
# too_low_energy: -1

# iterations: 8146743000
# working moves: 1620570306770
# total moves: 4073371500000
# acceptance rate: 0.397845

# converged state: 2613
# converged temperature: 0.497812

# energy	lndos	ps
124	-1619.138809	0
125	-1619.138809	0
126	-1619.138809	0
127	-1619.138809	0
128	-1619.138809	0
129	-1619.138809	0
130	-1619.138809	0
131	-1619.138809	0
132	-1619.138809	0
133	-1619.138809	0
134	-1619.138809	0
135	-1619.138809	0
136	-1619.138809	0
137	-1619.138809	0
138	-1619.138809	0
139	-1619.138809	0
140	-1619.138809	0
141	-1619.138809	0
142	-1619.138809	0
143	-1619.138809	0
144	-1619.138809	0
145	-1619.138809	0
146	-1619.138809	0
147	-1619.138809	0
148	-1619.138809	0
149	-1619.138809	0
150	-1619.138809	0
151	-1619.138809	0
152	-1619.138809	0
153	-1619.138809	0
154	-1619.138809	0
155	-1619.138809	0
156	-1619.138809	0
157	-1619.138809	0
158	-1619.138809	0
159	-1619.138809	0
160	-1619.138809	0
161	-1619.138809	0
162	-1619.138809	0
163	-1619.138809	0
164	-1619.138809	0
165	-1619.138809	0
166	-1619.138809	0
167	-1619.138809	0
168	-1619.138809	0
169	-1619.138809	0
170	-1619.138809	0
171	-1619.138809	0
172	-1619.138809	0
173	-1619.138809	0
174	-1619.138809	0
175	-1619.138809	0
176	-1619.138809	0
177	-1619.138809	0
178	-1619.138809	0
179	-1619.138809	0
180	-1619.138809	0
181	-1619.138809	0
182	-1619.138809	0
183	-1619.138809	0
184	-1619.138809	0
185	-1619.138809	0
186	-1619.138809	0
187	-1619.138809	0
188	-1619.138809	0
189	-1619.138809	0
190	-1619.138809	0
191	-1619.138809	0
192	-1619.138809	0
193	-1619.138809	0
194	-1619.138809	0
195	-1619.138809	0
196	-1619.138809	0
197	-1619.138809	0
198	-1619.138809	0
199	-1619.138809	0
200	-1619.138809	0
201	-1619.138809	0
202	-1619.138809	0
203	-1619.138809	0
204	-1619.138809	0
205	-1619.138809	0
206	-1619.138809	0
207	-1619.138809	0
208	-1619.138809	0
209	-1619.138809	0
210	-1619.138809	0
211	-1619.138809	0
212	-1619.138809	0
213	-1619.138809	0
214	-1619.138809	0
215	-1619.138809	0
216	-1619.138809	0
217	-1619.138809	0
218	-1619.138809	0
219	-1619.138809	0
220	-1619.138809	0
221	-1619.138809	0
222	-1619.138809	0
223	-1619.138809	0
224	-1619.138809	0
225	-1619.138809	0
226	-1619.138809	0
227	-1619.138809	0
228	-1619.138809	0
229	-1619.138809	0
230	-1619.138809	0
231	-1619.138809	0
232	-1619.138809	0
233	-1619.138809	0
234	-1619.138809	0
235	-1619.138809	0
236	-1619.138809	0
237	-1619.138809	0
238	-1619.138809	0
239	-1619.138809	0
240	-1619.138809	0
241	-1619.138809	0
242	-1619.138809	0
243	-1619.138809	0
244	-1619.138809	0
245	-1619.138809	0
246	-1619.138809	0
247	-1619.138809	0
248	-1619.138809	0
249	-1619.138809	0
250	-1619.138809	0
251	-1619.138809	0
252	-1619.138809	0
253	-1619.138809	0
254	-1619.138809	0
255	-1619.138809	0
256	-1619.138809	0
257	-1619.138809	0
258	-1619.138809	0
259	-1619.138809	0
260	-1619.138809	0
261	-1619.138809	0
262	-1619.138809	0
263	-1619.138809	0
264	-1619.138809	0
265	-1619.138809	0
266	-1619.138809	0
267	-1619.138809	0
268	-1619.138809	0
269	-1619.138809	0
270	-1619.138809	0
271	-1619.138809	0
272	-1619.138809	0
273	-1619.138809	0
274	-1619.138809	0
