# E	 Serror
-871	0.1291
-872	0.1349
-873	0.1352
-874	0.1397
-875	0.1414
-876	0.1424
-877	0.1427
-878	0.1421
-879	0.1425
-880	0.145
-881	0.149
-882	0.1517
-883	0.1536
-884	0.1549
-885	0.1568
-886	0.1616
-887	0.1643
-888	0.1651
-889	0.1691
-890	0.1701
-891	0.172
-892	0.1731
-893	0.1719
-894	0.1726
-895	0.1742
-896	0.1759
-897	0.1752
-898	0.1751
-899	0.1742
-900	0.1748
-901	0.176
-902	0.1773
-903	0.1776
-904	0.1794
-905	0.1796
-906	0.1799
-907	0.1746
-908	0.1732
-909	0.1722
-910	0.1694
-911	0.1681
-912	0.1694
-913	0.1679
-914	0.1666
-915	0.1667
