# version: 0.0.0-2192-gf1e731df-dirty
# seed: 5904706408274517152
# well_width: 1.3
# ff: 0.3
# N: 50
# walls: 0
# cell dimensions: (8.87113, 8.87113, 8.87113)
# translation_scale: 0.1
# energy_levels: 451
# min_T: 0.2
# max_entropy_state: 120
# min_important_energy: 267
# too_high_energy: -1
# too_low_energy: -1

# WL Factor: 1.39434e-08
# iterations: 143436694800
# working moves: 1730757189391
# total moves: 7171834740000
# acceptance rate: 0.241327

# converged state: 274
# converged temperature: 0.109236

# energy	lndos	ps	lndos_tm
215	-117.7135842	746141	-117.721
216	-119.8063575	720228	-119.812
217	-121.9175017	695037	-121.921
218	-124.047585	670229	-124.051
219	-126.1989116	645863	-126.199
220	-128.3674039	621876	-128.366
221	-130.5552256	598299	-130.554
222	-132.7635356	575426	-132.761
223	-134.9915334	552253	-134.987
224	-137.2379652	529680	-137.234
225	-139.5050218	507528	-139.501
226	-141.7929436	485135	-141.787
227	-144.0990906	462980	-144.095
228	-146.4255317	440756	-146.423
229	-148.7737436	418681	-148.772
230	-151.1417821	396834	-151.141
231	-153.5284631	375080	-153.531
232	-155.9355681	353365	-155.942
233	-158.3618149	331838	-158.372
234	-160.8067361	310513	-160.824
235	-163.2703366	289514	-163.295
236	-165.7506856	268797	-165.785
237	-168.2485149	248603	-168.296
238	-170.7669369	228787	-170.829
239	-173.3058303	210007	-173.385
240	-175.8717053	191829	-175.967
241	-178.468867	174363	-178.577
242	-181.0983584	157671	-181.22
243	-183.7675471	142033	-183.903
244	-186.4843627	127387	-186.63
245	-189.2501952	113922	-189.404
246	-192.0733417	101533	-192.23
247	-194.9574262	89952	-195.118
248	-197.9025045	79502	-198.067
249	-200.9200957	70255	-201.086
250	-204.0092257	61818	-204.177
251	-207.1785303	54235	-207.343
252	-210.4280638	47620	-210.595
253	-213.7626077	41828	-213.929
254	-217.1843244	36773	-217.359
255	-220.6924528	32396	-220.891
256	-224.2780753	28565	-224.519
257	-227.9155636	25293	-228.255
258	-231.5328997	22508	-232.076
259	-235.0449899	20042	-235.947
260	-238.4410731	17971	-239.831
261	-241.7777585	15973	-243.723
262	-245.1379444	13830	-247.67
263	-248.5788586	11244	-251.758
264	-252.1463655	7858	-256.053
265	-255.8894284	5211	-260.643
266	-259.8824127	3477	-265.595
267	-264.2454793	2283	-270.916
268	-269.2693167	1713	-276.669
269	-284.2082455	1364	-283.297
270	-294.7436689	1040	-291.341
271	-303.7491398	934	-300.245
272	-318.4190889	18	-309.774
273	-326.5150381	17	-318.355
274	-335.4320479	13	-327.509
275	-350.3288147	9	-343.12
276	-366.9158916	6	-361.086
277	-8137.575649	0	-361.086
278	-8137.575649	0	-361.086
279	-8137.575649	0	-361.086
280	-8137.575649	0	-361.086
281	-8137.575649	0	-361.086
282	-8137.575649	0	-361.086
283	-8137.575649	0	-361.086
284	-8137.575649	0	-361.086
285	-8137.575649	0	-361.086
286	-8137.575649	0	-361.086
287	-8137.575649	0	-361.086
288	-8137.575649	0	-361.086
289	-8137.575649	0	-361.086
290	-8137.575649	0	-361.086
291	-8137.575649	0	-361.086
292	-8137.575649	0	-361.086
293	-8137.575649	0	-361.086
294	-8137.575649	0	-361.086
295	-8137.575649	0	-361.086
296	-8137.575649	0	-361.086
297	-8137.575649	0	-361.086
298	-8137.575649	0	-361.086
299	-8137.575649	0	-361.086
300	-8137.575649	0	-361.086
301	-8137.575649	0	-361.086
302	-8137.575649	0	-361.086
303	-8137.575649	0	-361.086
304	-8137.575649	0	-361.086
305	-8137.575649	0	-361.086
306	-8137.575649	0	-361.086
307	-8137.575649	0	-361.086
308	-8137.575649	0	-361.086
309	-8137.575649	0	-361.086
310	-8137.575649	0	-361.086
311	-8137.575649	0	-361.086
312	-8137.575649	0	-361.086
313	-8137.575649	0	-361.086
314	-8137.575649	0	-361.086
315	-8137.575649	0	-361.086
316	-8137.575649	0	-361.086
317	-8137.575649	0	-361.086
318	-8137.575649	0	-361.086
319	-8137.575649	0	-361.086
320	-8137.575649	0	-361.086
321	-8137.575649	0	-361.086
322	-8137.575649	0	-361.086
323	-8137.575649	0	-361.086
324	-8137.575649	0	-361.086
325	-8137.575649	0	-361.086
326	-8137.575649	0	-361.086
327	-8137.575649	0	-361.086
328	-8137.575649	0	-361.086
329	-8137.575649	0	-361.086
330	-8137.575649	0	-361.086
331	-8137.575649	0	-361.086
332	-8137.575649	0	-361.086
333	-8137.575649	0	-361.086
334	-8137.575649	0	-361.086
335	-8137.575649	0	-361.086
336	-8137.575649	0	-361.086
337	-8137.575649	0	-361.086
338	-8137.575649	0	-361.086
339	-8137.575649	0	-361.086
340	-8137.575649	0	-361.086
341	-8137.575649	0	-361.086
342	-8137.575649	0	-361.086
343	-8137.575649	0	-361.086
344	-8137.575649	0	-361.086
345	-8137.575649	0	-361.086
346	-8137.575649	0	-361.086
347	-8137.575649	0	-361.086
348	-8137.575649	0	-361.086
349	-8137.575649	0	-361.086
350	-8137.575649	0	-361.086
351	-8137.575649	0	-361.086
352	-8137.575649	0	-361.086
353	-8137.575649	0	-361.086
354	-8137.575649	0	-361.086
355	-8137.575649	0	-361.086
356	-8137.575649	0	-361.086
357	-8137.575649	0	-361.086
358	-8137.575649	0	-361.086
359	-8137.575649	0	-361.086
360	-8137.575649	0	-361.086
361	-8137.575649	0	-361.086
362	-8137.575649	0	-361.086
363	-8137.575649	0	-361.086
364	-8137.575649	0	-361.086
365	-8137.575649	0	-361.086
366	-8137.575649	0	-361.086
367	-8137.575649	0	-361.086
368	-8137.575649	0	-361.086
369	-8137.575649	0	-361.086
370	-8137.575649	0	-361.086
371	-8137.575649	0	-361.086
372	-8137.575649	0	-361.086
373	-8137.575649	0	-361.086
374	-8137.575649	0	-361.086
375	-8137.575649	0	-361.086
376	-8137.575649	0	-361.086
377	-8137.575649	0	-361.086
378	-8137.575649	0	-361.086
379	-8137.575649	0	-361.086
380	-8137.575649	0	-361.086
381	-8137.575649	0	-361.086
382	-8137.575649	0	-361.086
383	-8137.575649	0	-361.086
384	-8137.575649	0	-361.086
385	-8137.575649	0	-361.086
386	-8137.575649	0	-361.086
387	-8137.575649	0	-361.086
388	-8137.575649	0	-361.086
389	-8137.575649	0	-361.086
390	-8137.575649	0	-361.086
391	-8137.575649	0	-361.086
392	-8137.575649	0	-361.086
393	-8137.575649	0	-361.086
394	-8137.575649	0	-361.086
395	-8137.575649	0	-361.086
396	-8137.575649	0	-361.086
397	-8137.575649	0	-361.086
398	-8137.575649	0	-361.086
399	-8137.575649	0	-361.086
400	-8137.575649	0	-361.086
401	-8137.575649	0	-361.086
402	-8137.575649	0	-361.086
403	-8137.575649	0	-361.086
404	-8137.575649	0	-361.086
405	-8137.575649	0	-361.086
406	-8137.575649	0	-361.086
407	-8137.575649	0	-361.086
408	-8137.575649	0	-361.086
409	-8137.575649	0	-361.086
410	-8137.575649	0	-361.086
411	-8137.575649	0	-361.086
412	-8137.575649	0	-361.086
413	-8137.575649	0	-361.086
414	-8137.575649	0	-361.086
415	-8137.575649	0	-361.086
416	-8137.575649	0	-361.086
417	-8137.575649	0	-361.086
418	-8137.575649	0	-361.086
419	-8137.575649	0	-361.086
420	-8137.575649	0	-361.086
421	-8137.575649	0	-361.086
422	-8137.575649	0	-361.086
423	-8137.575649	0	-361.086
424	-8137.575649	0	-361.086
425	-8137.575649	0	-361.086
426	-8137.575649	0	-361.086
427	-8137.575649	0	-361.086
428	-8137.575649	0	-361.086
429	-8137.575649	0	-361.086
430	-8137.575649	0	-361.086
431	-8137.575649	0	-361.086
432	-8137.575649	0	-361.086
433	-8137.575649	0	-361.086
434	-8137.575649	0	-361.086
435	-8137.575649	0	-361.086
436	-8137.575649	0	-361.086
437	-8137.575649	0	-361.086
438	-8137.575649	0	-361.086
439	-8137.575649	0	-361.086
440	-8137.575649	0	-361.086
441	-8137.575649	0	-361.086
442	-8137.575649	0	-361.086
443	-8137.575649	0	-361.086
444	-8137.575649	0	-361.086
445	-8137.575649	0	-361.086
446	-8137.575649	0	-361.086
447	-8137.575649	0	-361.086
448	-8137.575649	0	-361.086
449	-8137.575649	0	-361.086
450	-8137.575649	0	-361.086
