# unused	g3	z	x
0	7.69444	3.6857	1.3768
0	7.68546	3.67879	1.38471
0	7.67652	3.67185	1.39258
0	7.66766	3.66487	1.40043
0	7.65888	3.65784	1.40823
0	7.64942	3.65078	1.416
0	7.63931	3.64368	1.42374
0	7.6292	3.63655	1.43144
0	7.61911	3.62937	1.43911
0	7.60902	3.62216	1.44674
0	7.59894	3.6149	1.45433
0	7.58886	3.60761	1.46188
0	7.5789	3.60028	1.4694
0	7.56896	3.59292	1.47689
0	7.55872	3.58552	1.48433
0	7.54777	3.57808	1.49174
0	7.5368	3.5706	1.49911
0	7.5258	3.56308	1.50645
0	7.51477	3.55553	1.51374
0	7.50372	3.54795	1.521
0	7.49263	3.54032	1.52822
0	7.48167	3.53266	1.53541
0	7.47072	3.52497	1.54255
0	7.4594	3.51724	1.54966
0	7.44776	3.50947	1.55672
0	7.43605	3.50167	1.56375
0	7.42427	3.49384	1.57074
0	7.41243	3.48596	1.57769
0	7.40053	3.47806	1.5846
0	7.38856	3.47012	1.59147
0	7.37665	3.46214	1.5983
0	7.36477	3.45414	1.60509
0	7.35264	3.44609	1.61184
0	7.34041	3.43802	1.61855
0	7.32808	3.42991	1.62522
0	7.31565	3.42177	1.63185
0	7.30313	3.41359	1.63844
0	7.2905	3.40538	1.64499
0	7.27779	3.39714	1.65149
0	7.26497	3.38887	1.65796
0	7.25239	3.38056	1.66438
0	7.23982	3.37222	1.67076
0	7.22713	3.36385	1.6771
0	7.2143	3.35545	1.6834
0	7.20134	3.34702	1.68966
0	7.18825	3.33855	1.69587
0	7.17504	3.33006	1.70204
0	7.16175	3.32153	1.70817
0	7.14889	3.31298	1.71426
0	7.13583	3.30439	1.7203
0	7.1226	3.29578	1.7263
0	7.10947	3.28713	1.73226
0	7.09626	3.27845	1.73817
0	7.0829	3.26975	1.74404
0	7.06937	3.26101	1.74987
0	7.05611	3.25225	1.75565
0	7.04326	3.24346	1.76139
0	7.0302	3.23463	1.76709
0	7.01693	3.22579	1.77274
0	7.00347	3.21691	1.77835
0	6.9898	3.208	1.78391
0	6.97592	3.19907	1.78943
0	6.96192	3.19011	1.7949
0	6.94934	3.18112	1.80033
0	6.93665	3.1721	1.80571
0	6.92375	3.16306	1.81105
0	6.91062	3.15399	1.81634
0	6.89727	3.1449	1.82159
0	6.88371	3.13578	1.82679
0	6.86992	3.12663	1.83195
0	6.85692	3.11746	1.83706
0	6.84436	3.10826	1.84212
0	6.83154	3.09904	1.84714
0	6.81848	3.08979	1.85211
0	6.80517	3.08052	1.85704
0	6.79176	3.07122	1.86192
0	6.77847	3.0619	1.86675
0	6.76577	3.05255	1.87154
0	6.75396	3.04318	1.87627
0	6.7419	3.03379	1.88097
0	6.72958	3.02437	1.88561
0	6.71701	3.01493	1.89021
0	6.70418	3.00547	1.89476
0	6.69111	2.99599	1.89927
0	6.67861	2.98648	1.90372
0	6.66722	2.97695	1.90813
0	6.65557	2.9674	1.91249
0	6.64365	2.95782	1.9168
0	6.63146	2.94823	1.92107
0	6.61902	2.93861	1.92529
0	6.60664	2.92898	1.92946
0	6.59528	2.91932	1.93358
0	6.58499	2.90964	1.93765
0	6.57443	2.89994	1.94167
0	6.56362	2.89022	1.94565
0	6.55255	2.88049	1.94957
0	6.54123	2.87073	1.95345
0	6.52965	2.86095	1.95728
0	6.51938	2.85116	1.96106
0	6.50984	2.84134	1.96479
0	6.50003	2.83151	1.96848
0	6.48998	2.82166	1.97211
0	6.47967	2.81179	1.97569
0	6.46911	2.8019	1.97923
0	6.4583	2.79199	1.98271
0	6.44958	2.78207	1.98615
0	6.44095	2.77213	1.98953
0	6.43207	2.76218	1.99287
0	6.42339	2.7522	1.99615
0	6.41455	2.74222	1.99939
0	6.40547	2.73221	2.00258
0	6.39674	2.72219	2.00571
0	6.38998	2.71215	2.0088
0	6.38299	2.7021	2.01183
0	6.37577	2.69204	2.01482
0	6.36832	2.68195	2.01775
0	6.36065	2.67186	2.02064
0	6.35276	2.66175	2.02347
0	6.34641	2.65162	2.02626
0	6.34097	2.64149	2.02899
0	6.33532	2.63133	2.03167
0	6.32945	2.62117	2.0343
0	6.32337	2.61099	2.03688
0	6.31709	2.6008	2.03941
0	6.31084	2.5906	2.04189
0	6.30714	2.58038	2.04432
0	6.30324	2.57015	2.04669
0	6.29915	2.55991	2.04902
0	6.29487	2.54966	2.05129
0	6.29041	2.5394	2.05352
0	6.28577	2.52913	2.05569
0	6.28276	2.51884	2.05781
0	6.28085	2.50855	2.05988
